sequence,date,point_type,event,engine_equity,cash,positions_value,spx_close,spx_benchmark_equity,daily_return_pct,spx_day_return_pct,drawdown_pct,exposure_pct,open_positions_count,pending_orders_count,market_gate_state,spx_regime,settlement_delta_from_last_regular_eod
1180,2026-02-23,REGULAR_EOD,EOD_MARK_TO_MARKET,221864.7,73064.08,148800.62,6837.75,160985.205206,-0.9579,-1.0386,19.8378,67.07,2,0,RISK_OFF,UPTREND,
1181,2026-02-24,REGULAR_EOD,EOD_MARK_TO_MARKET,221528.0,108974.28,112553.72,6890.07,162217.006008,-0.1518,0.7652,19.9595,50.81,2,1,RISK_OFF,UPTREND,
1182,2026-02-25,REGULAR_EOD,EOD_MARK_TO_MARKET,220192.01,108974.28,111217.73,6946.13,163536.85985,-0.6031,0.8136,20.4422,50.51,2,1,ALLOW,UPTREND,
1183,2026-02-26,REGULAR_EOD,EOD_MARK_TO_MARKET,220581.98,70834.08,149747.9,6908.86,162659.390127,0.1771,-0.5366,20.3013,67.89,2,2,ALLOW,UPTREND,
1184,2026-02-27,REGULAR_EOD,EOD_MARK_TO_MARKET,220465.48,70834.08,149631.4,6878.88,161953.553199,-0.0528,-0.4339,20.3434,67.87,2,0,RISK_OFF,UPTREND,
1185,2026-03-02,REGULAR_EOD,EOD_MARK_TO_MARKET,221780.32,70834.08,150946.24,6881.62,162018.062645,0.5964,0.0398,19.8683,68.06,2,0,RISK_OFF,UPTREND,
1186,2026-03-03,REGULAR_EOD,EOD_MARK_TO_MARKET,216617.49,70834.08,145783.41,6816.63,160487.964515,-2.3279,-0.9444,21.7337,67.3,2,0,RISK_OFF,UPTREND,
1187,2026-03-04,REGULAR_EOD,EOD_MARK_TO_MARKET,219098.93,70834.08,148264.85,6869.5,161732.714294,1.1455,0.7756,20.8371,67.67,2,0,RISK_OFF,UPTREND,
1188,2026-03-05,REGULAR_EOD,EOD_MARK_TO_MARKET,213560.18,70834.08,142726.09,6830.71,160819.458309,-2.528,-0.5647,22.8384,66.83,2,0,RISK_OFF,UPTREND,
1189,2026-03-06,REGULAR_EOD,EOD_MARK_TO_MARKET,208363.65,105766.78,102596.87,6740.02,158684.289831,-2.4333,-1.3277,24.7159,49.24,2,1,RISK_OFF,UPTREND,
1190,2026-03-09,REGULAR_EOD,EOD_MARK_TO_MARKET,211661.6,105766.78,105894.82,6795.99,160002.024749,1.5828,0.8304,23.5243,50.03,2,1,RISK_OFF,UPTREND,
1191,2026-03-10,REGULAR_EOD,EOD_MARK_TO_MARKET,212514.91,105766.78,106748.13,6781.48,159660.40721,0.4031,-0.2135,23.216,50.23,2,1,RISK_OFF,UPTREND,
1192,2026-03-11,REGULAR_EOD,EOD_MARK_TO_MARKET,212034.68,105766.78,106267.9,6775.8,159526.6796,-0.226,-0.0838,23.3895,50.12,2,1,RISK_OFF,UPTREND,
1193,2026-03-12,REGULAR_EOD,EOD_MARK_TO_MARKET,206131.07,105766.78,100364.29,6672.62,157097.451641,-2.7843,-1.5228,25.5226,48.69,2,1,RISK_OFF,UPTREND,
1194,2026-03-13,REGULAR_EOD,EOD_MARK_TO_MARKET,203644.17,137011.39,66632.78,6632.19,156145.584164,-1.2065,-0.6059,26.4211,32.72,2,2,RISK_OFF,UPTREND,
1195,2026-03-16,REGULAR_EOD,EOD_MARK_TO_MARKET,204294.15,204294.15,0.0,6699.38,157727.478199,0.3192,1.0131,26.1863,0.0,0,2,RISK_OFF,UPTREND,
1196,2026-03-17,REGULAR_EOD,EOD_MARK_TO_MARKET,204294.15,204294.15,0.0,6716.09,158120.891643,0.0,0.2494,26.1863,0.0,0,0,RISK_OFF,UPTREND,
1197,2026-03-18,REGULAR_EOD,EOD_MARK_TO_MARKET,204294.15,204294.15,0.0,6624.7,155969.24265,0.0,-1.3608,26.1863,0.0,0,0,RISK_OFF,UPTREND,
1198,2026-03-19,REGULAR_EOD,EOD_MARK_TO_MARKET,204294.15,204294.15,0.0,6606.49,155540.513815,0.0,-0.2749,26.1863,0.0,0,0,RISK_OFF,UPTREND,
